746;Sievi;4910
747;Siikainen;1437
748;Siikajoki;5145
791;Siikalatva;5231
749;Siilinjärvi;21423
751;Simo;2988
753;Sipoo;21170
755;Siuntio;6145
758;Sodankylä;8303
759;Soini;2052
761;Somero;8711
762;Sonkajärvi;3897
765;Sotkamo;10336
766;Sottunga;88
768;Sulkava;2492
771;Sund;1023
777;Suomussalmi;7727
778;Suonenjoki;7064
781;Sysmä;3657
783;Säkylä;6721
831;Taipalsaari;4671
832;Taivalkoski;3976
833;Taivassalo;1639
834;Tammela;6015
837;Tampere;238140
844;Tervo;1520
845;Tervola;3001
846;Teuva;5076
848;Tohmajärvi;4361
849;Toholampi;3033
850;Toivakka;2388
851;Tornio;21602
853;Turku;192962
857;Tuusniemi;2477
858;Tuusula;38599
859;Tyrnävä;6637
886;Ulvila;12871
887;Urjala;4688
889;Utajärvi;2676
890;Utsjoki;1212
892;Uurainen;3681
893;Uusikaarlepyy;7464
895;Uusikaupunki;15522
785;Vaala;2792
905;Vaasa;67636
908;Valkeakoski;20972
092;Vantaa;233775
915;Varkaus;20466
918;Vehmaa;2293
921;Vesanto;2014
922;Vesilahti;4355
924;Veteli;3114
925;Vieremä;3579
927;Vihti;29158
931;Viitasaari;6176
934;Vimpeli;2827
935;Virolahti;3109
936;Virrat;6544
941;Vårdö;447
946;Vöyri;6461
976;Ylitornio;3918
977;Ylivieska;15255
980;Ylöjärvi;33254
981;Ypäjä;2343
989;Ähtäri;5616
992;Äänekoski;18765
