791;Siikalatva;4938
749;Siilinjärvi;21269
751;Simo;2778
753;Sipoo;22826
755;Siuntio;6182
758;Sodankylä;8127
759;Soini;1800
761;Somero;8429
762;Sonkajärvi;3570
765;Sotkamo;10185
766;Sottunga;101
768;Sulkava;2361
771;Sund;1001
777;Suomussalmi;7038
778;Suonenjoki;6632
781;Sysmä;3428
783;Säkylä;6256
831;Taipalsaari;4596
832;Taivalkoski;3657
833;Taivassalo;1692
834;Tammela;5832
837;Tampere;260180
844;Tervo;1388
845;Tervola;2826
846;Teuva;4662
848;Tohmajärvi;3976
849;Toholampi;2799
850;Toivakka;2349
851;Tornio;20959
853;Turku;206073
857;Tuusniemi;2311
858;Tuusula;42225
859;Tyrnävä;6501
886;Ulvila;12382
887;Urjala;4493
889;Utajärvi;2466
890;Utsjoki;1137
892;Uurainen;3657
893;Uusikaarlepyy;7439
895;Uusikaupunki;14814
785;Vaala;2581
905;Vaasa;70361
908;Valkeakoski;20847
92;Vantaa;251269
915;Varkaus;19669
918;Vehmaa;2246
921;Vesanto;1851
922;Vesilahti;4511
924;Veteli;2931
925;Vieremä;3352
927;Vihti;28799
931;Viitasaari;5764
934;Vimpeli;2607
935;Virolahti;2831
936;Virrat;6190
941;Vårdö;459
946;Vöyri;6210
976;Ylitornio;3721
977;Ylivieska;15406
980;Ylöjärvi;33704
981;Ypäjä;2193
989;Ähtäri;5220
992;Äänekoski;17740
