ID;Name;Population;Region;Latitude;Longitude
271;Kokemäki;6668;Satakunta;61,2513342;22,3492421
272;Kokkola;48367;Keski-Pohjanmaa;63,8391421;23,1336845
273;Kolari;3987;Lappi;67,3303348;23,7814738
275;Konnevesi;2441;Keski-Suomi;62,6266587;26,2916036
276;Kontiolahti;15071;Pohjois-Karjala;62,766667;29,85
280;Korsnäs;1986;Österbotten;62,7863726;21,18784
284;Koski Tl;2186;Varsinais-Suomi;60,6530502;23,1406187
285;Kotka;50210;Kymenlaakso;60,4672661;26,9459439
286;Kouvola;78386;Kymenlaakso;60,8679237;26,7041116
287;Kristiinankaupunki;6121;Österbotten;62,2741909;21,3772419
288;Kruunupyy;6342;Österbotten;63,7288259;23,0215188
290;Kuhmo;7483;Kainuu;64,1261745;29,519515
291;Kuhmoinen;2038;Pirkanmaa;61,566667;25,183333
295;Kumlinge;273;Åland;60,2599501;20,7786249
297;Kuopio;125666;Pohjois-Savo;62,8924641;27,6783597
300;Kuortane;3335;Etelä-Pohjanmaa;62,8069866;23,5069436
301;Kurikka;19509;Etelä-Pohjanmaa;62,6171778;22,3992088
304;Kustavi;970;Varsinais-Suomi;60,5458493;21,3558051
305;Kuusamo;14876;Pohjois-Pohjanmaa;65,9645637;29,1883283
312;Kyyjärvi;1155;Keski-Suomi;63,0458328;24,563957
316;Kärkölä;4093;Päijät-Häme;60,8676567;25,2511393
317;Kärsämäki;2373;Pohjois-Pohjanmaa;63,979723;25,7588484
318;Kökar;227;Åland;59,9211709;20,9103514
398;Lahti;121337;Päijät-Häme;60,982628;25,6613418
399;Laihia;7656;Österbotten;62,9761064;22,0122155
400;Laitila;8479;Varsinais-Suomi;60,8801155;21,6926352
407;Lapinjärvi;2429;Uusimaa;60,6273036;26,1981468
402;Lapinlahti;8865;Pohjois-Savo;63,365941;27,3907106
403;Lappajärvi;2758;Etelä-Pohjanmaa;63,2193382;23,628386
405;Lappeenranta;73327;Etelä-Karjala;61,0583417;28,1862293
408;Lapua;14028;Etelä-Pohjanmaa;62,9702783;23,0068628
410;Laukaa;18878;Keski-Suomi;62,416667;25,95
416;Lemi;2849;Etelä-Karjala;61,061552;27,8041612
417;Lemland;2134;Åland;60,0690169;20,0860081
418;Lempäälä;24854;Pirkanmaa;61,314947;23,7556218
420;Leppävirta;8971;Pohjois-Savo;62,4917201;27,7880572
421;Lestijärvi;665;Keski-Pohjanmaa;63,5245085;24,6683036
422;Lieksa;10049;Pohjois-Karjala;63,3178213;30,0191312
423;Lieto;20666;Varsinais-Suomi;60,5054982;22,4584171
425;Liminka;10190;Pohjois-Pohjanmaa;64,8106448;25,4084842
426;Liperi;11913;Pohjois-Karjala;62,5314503;29,3872024
444;Lohja;45687;Uusimaa;60,2512041;24,0676953
430;Loimaa;15295;Varsinais-Suomi;60,8547736;23,0398826
433;Loppi;7657;Kanta-Häme;60,7173615;24,4414178
434;Loviisa;14352;Uusimaa;60,4570123;26,2256448
435;Luhanka;711;Keski-Suomi;61,797009;25,7046425
436;Lumijoki;2008;Pohjois-Pohjanmaa;64,8384044;25,1868431
438;Lumparland;371;Åland;60,1168691;20,271068
440;Luoto;5884;Österbotten;63,7533827;22,7455697
441;Luumäki;4358;Etelä-Karjala;60,9225204;27,5693101
475;Maalahti;5415;Österbotten;62,937046;21,5700528
478;Maarianhamina;11866;Åland;60,102423;19,94126
480;Marttila;1910;Varsinais-Suomi;60,585109;22,898546
481;Masku;9592;Varsinais-Suomi;60,566667;22,1
483;Merijärvi;1059;Pohjois-Pohjanmaa;64,2976968;24,4480067
484;Merikarvia;2904;Satakunta;61,8582857;21,5004374
489;Miehikkälä;1703;Kymenlaakso;60,6705691;27,6996066
491;Mikkeli;51890;Etelä-Savo;61,6877823;27,2731918
494;Muhos;8749;Pohjois-Pohjanmaa;64,8063089;25,9953642
495;Multia;1393;Keski-Suomi;62,4099783;24,8000583
498;Muonio;2313;Lappi;67,9593397;23,6774037
499;Mustasaari;19738;Österbotten;63,1247621;21,6941345
500;Muurame;10614;Keski-Suomi;62,1289925;25,6749474
503;Mynämäki;7477;Varsinais-Suomi;60,67889;21,9861075
504;Myrskylä;1677;Uusimaa;60,6702833;25,8513925
505;Mäntsälä;20934;Uusimaa;60,6339269;25,3188193
508;Mänttä-Vilppula;9270;Pirkanmaa;62,0826146;24,4504322
507;Mäntyharju;7057;Etelä-Savo;61,415461;26,8797256
529;Naantali;20129;Varsinais-Suomi;60,4688687;22,0291149
531;Nakkila;4939;Satakunta;61,3664981;22,0000209
535;Nivala;10378;Pohjois-Pohjanmaa;63,9289531;24,9612586
536;Nokia;36176;Pirkanmaa;61,4781666;23,5096158
538;Nousiainen;4659;Varsinais-Suomi;60,5992408;22,0840745
541;Nurmes;8980;Pohjois-Karjala;63,5422079;29,14101
543;Nurmijärvi;45048;Uusimaa;60,4628627;24,8051725
545;Närpiö;9554;Österbotten;62,4779756;21,336676
560;Orimattila;15651;Päijät-Häme;60,805137;25,7333558
561;Oripää;1304;Varsinais-Suomi;60,8560024;22,6972154
562;Orivesi;8869;Pirkanmaa;61,6775495;24,3587506
563;Oulainen;6912;Pohjois-Pohjanmaa;64,2667732;24,8000331
564;Oulu;216152;Pohjois-Pohjanmaa;65,0117869;25,4701983
309;Outokumpu;6444;Pohjois-Karjala;62,7255326;29,0186972
576;Padasjoki;2676;Päijät-Häme;61,3512901;25,2785646
577;Paimio;11221;Varsinais-Suomi;60,4570244;22,6883278
578;Paltamo;2990;Kainuu;64,4068668;27,8335512
445;Parainen;14868;Varsinais-Suomi;60,3009089;22,302078
580;Parikkala;4300;Etelä-Karjala;61,5579662;29,5013573
581;Parkano;6069;Pirkanmaa;62,0105997;23,01869
599;Pedersören kunta;11226;Österbotten;63,5407579;23,0452112
583;Pelkosenniemi;910;Lappi;67,1095969;27,5118116
854;Pello;3191;Lappi;66,7747332;23,9676822
584;Perho;2594;Keski-Pohjanmaa;63,214438;24,4196234
592;Petäjävesi;3552;Keski-Suomi;62,2504776;25,2004692
